created_at,entry_id,Actual_temperature (*C),Humidity (%),Pressure (hPa),Predicted_temp (*C)
2022-11-04T08:33:03+00:00,1,27.71265,65.09776,1010.66998,27.73005
2022-11-04T08:48:09+00:00,2,28.85927,44.65386,1010.69,27.82075
2022-11-04T09:03:14+00:00,3,29.85161,42.70943,1010.66998,27.79603
2022-11-04T09:18:19+00:00,4,30.76886,41.3483,1010.65002,27.70003
2022-11-04T09:33:25+00:00,5,30.59974,45.67894,1010.59998,27.51707
2022-11-04T09:48:30+00:00,6,30.24665,48.36411,1010.53003,28.61946
2022-11-04T10:03:36+00:00,7,29.4695,53.66508,1010.46997,29.61533
2022-11-04T10:18:41+00:00,8,28.88198,55.25068,1010.40997,30.52489
2022-11-04T10:33:46+00:00,9,28.33265,56.07932,1010.32001,30.60578
2022-11-04T10:48:52+00:00,10,27.96538,56.45013,1010.28003,30.43518
2022-11-04T11:03:57+00:00,11,27.8742,53.6704,1010.35999,29.52754
2022-11-04T11:19:03+00:00,12,27.71991,54.91256,1010.46997,28.88141
2022-11-04T11:34:09+00:00,13,27.67794,55.47634,1010.53998,28.34299
2022-11-04T11:49:14+00:00,14,27.4719,57.27193,1010.54999,27.96453
2022-11-04T12:04:20+00:00,15,27.17405,58.44566,1010.59998,27.86578
2022-11-04T12:19:25+00:00,16,26.89892,59.69857,1010.62,27.73516
2022-11-04T12:34:31+00:00,17,26.51177,61.78361,1010.66998,27.73032
2022-11-04T12:49:36+00:00,18,26.17953,62.64205,1010.67999,27.66432
2022-11-04T13:04:41+00:00,19,25.81259,63.9817,1010.66998,27.4551
2022-11-04T13:35:16+00:00,20,25.2008,65.44633,1010.57001,26.85509
2022-11-04T13:50:22+00:00,21,24.92725,65.9819,1010.46997,26.52275
2022-11-04T14:05:29+00:00,22,24.67074,66.63224,1010.35999,26.12188
2022-11-04T14:20:36+00:00,23,24.44073,67.68165,1010.31,25.76323
2022-11-04T14:35:42+00:00,24,24.23249,67.89756,1010.28003,25.46064
2022-11-04T14:50:48+00:00,25,24.02583,68.71902,1010.23999,25.16808
2022-11-04T15:05:53+00:00,26,23.77058,69.69411,1010.23999,24.91328
2022-11-04T15:20:58+00:00,27,23.5431,69.86216,1010.25,24.70291
2022-11-04T15:36:04+00:00,28,23.31246,70.94552,1010.22998,24.51335
2022-11-04T15:51:09+00:00,29,23.04775,72.00808,1010.29999,24.35339
2022-11-04T16:06:14+00:00,30,22.84709,71.92812,1010.37,24.09837
2022-11-04T16:21:20+00:00,31,22.68239,72.29502,1010.41998,23.85511
2022-11-04T16:36:25+00:00,32,22.46911,73.09668,1010.47998,23.62775
2022-11-04T16:51:30+00:00,33,22.26467,73.45862,1010.56,23.34569
2022-11-04T17:06:36+00:00,34,22.04728,74.39142,1010.63,23.15318
2022-11-04T17:21:41+00:00,35,21.84851,74.86422,1010.70001,23.03137
2022-11-04T17:36:48+00:00,36,21.63902,75.6748,1010.83002,22.82379
2022-11-04T17:51:55+00:00,37,21.4901,75.70379,1010.95001,22.62225
2022-11-04T18:07:00+00:00,38,21.41249,75.04761,1011.14001,22.35473
2022-11-04T18:22:06+00:00,39,21.32289,74.9582,1011.34003,22.10636
2022-11-04T18:37:11+00:00,40,21.21562,75.63704,1011.53998,21.84028
